model, prompt_tokens, completion_tokens, reponse_status, date
gpt-35-turbo, 201, 1, 200, 2024-05-24
gpt-35-turbo, 171, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 99, 1, 200, 2024-05-24
gpt-35-turbo, 179, 1, 200, 2024-05-24
gpt-35-turbo, 197, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 165, 1, 200, 2024-05-24
gpt-35-turbo, 184, 1, 200, 2024-05-24
gpt-35-turbo, 228, 1, 200, 2024-05-24
gpt-35-turbo, 220, 1, 200, 2024-05-24
gpt-35-turbo, 217, 1, 200, 2024-05-24
gpt-35-turbo, 235, 1, 200, 2024-05-24
gpt-35-turbo, 206, 1, 200, 2024-05-24
gpt-35-turbo, 190, 1, 200, 2024-05-24
gpt-35-turbo, 210, 1, 200, 2024-05-24
gpt-35-turbo, 186, 1, 200, 2024-05-24
gpt-35-turbo, 185, 1, 200, 2024-05-24
gpt-35-turbo, 187, 1, 200, 2024-05-24
gpt-35-turbo, 260, 1, 200, 2024-05-24
gpt-35-turbo, 171, 1, 200, 2024-05-24
gpt-35-turbo, 243, 1, 200, 2024-05-24
gpt-35-turbo, 221, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 212, 1, 200, 2024-05-24
gpt-35-turbo, 294, 1, 200, 2024-05-24
gpt-35-turbo, 214, 1, 200, 2024-05-24
gpt-35-turbo, 241, 1, 200, 2024-05-24
gpt-35-turbo, 253, 1, 200, 2024-05-24
gpt-35-turbo, 198, 1, 200, 2024-05-24
gpt-35-turbo, 182, 1, 200, 2024-05-24
gpt-35-turbo, 196, 1, 200, 2024-05-24
gpt-35-turbo, 183, 1, 200, 2024-05-24
gpt-35-turbo, 276, 1, 200, 2024-05-24
gpt-35-turbo, 156, 1, 200, 2024-05-24
gpt-35-turbo, 226, 1, 200, 2024-05-24
gpt-35-turbo, 216, 1, 200, 2024-05-24
gpt-35-turbo, 245, 1, 200, 2024-05-24
gpt-35-turbo, 204, 1, 200, 2024-05-24
gpt-35-turbo, 228, 1, 200, 2024-05-24
gpt-35-turbo, 190, 1, 200, 2024-05-24
gpt-35-turbo, 201, 1, 200, 2024-05-24
gpt-35-turbo, 208, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-24
gpt-35-turbo, 239, 1, 200, 2024-05-24
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 220, 1, 200, 2024-05-27
gpt-35-turbo, 211, 1, 200, 2024-05-27
gpt-35-turbo, 204, 1, 200, 2024-05-27
gpt-35-turbo, 212, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 220, 1, 200, 2024-05-27
gpt-35-turbo, 211, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 220, 1, 200, 2024-05-27
gpt-35-turbo, 211, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 222, 1, 200, 2024-05-27
gpt-35-turbo, 239, 1, 200, 2024-05-27
gpt-35-turbo, 220, 1, 200, 2024-05-27
gpt-35-turbo, 211, 1, 200, 2024-05-27
gpt-35-turbo, 231, 1, 200, 2024-05-31
gpt-35-turbo, 231, 1, 200, 2024-05-31
gpt-35-turbo, 231, 1, 200, 2024-05-31
gpt-35-turbo, 231, 1, 200, 2024-05-31
gpt-4, 229, 1, 200, 2024-05-31
gpt-4, 229, 1, 200, 2024-05-31
gpt-4, 229, 1, 200, 2024-06-01
gpt-4, 229, 1, 200, 2024-06-03
gpt-4, 229, 1, 200, 2024-06-03
gpt-4, 229, 1, 200, 2024-06-03
gpt-35-turbo, 234, 1, 200, 2024-06-03
gpt-35-turbo, 233, 1, 200, 2024-06-03
gpt-35-turbo, 233, 1, 200, 2024-06-03
gpt-35-turbo, 234, 1, 200, 2024-06-03
gpt-35-turbo, 234, 1, 200, 2024-06-03
gpt-35-turbo, 233, 1, 200, 2024-06-03
gpt-35-turbo, 233, 1, 200, 2024-06-03
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 213, 2, 200, 2024-06-13
gpt-35-turbo, 213, 2, 200, 2024-06-13
gpt-35-turbo, 214, 50, 200, 2024-06-13
gpt-35-turbo, 214, 51, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 361, 2, 200, 2024-06-13
gpt-35-turbo, 382, 66, 200, 2024-06-13
gpt-35-turbo, 382, 68, 200, 2024-06-13
gpt-35-turbo, 372, 1, 200, 2024-06-13
gpt-35-turbo, 372, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 357, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 388, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
gpt-35-turbo, 355, 1, 200, 2024-06-13
